"timestamp","brentoilprice","fuelprice","date_column"
"1583269200000","54.48","6.3","2020-03-04"
"1583355600000","54.14","6.3","2020-03-05"
"1583442000000","53.71","6.3","2020-03-06"
"1583701200000","50.3","6.3","2020-03-09"
"1583787600000","51.38","6.3","2020-03-10"
"1583874000000","51.59","6.3","2020-03-11"
"1583960400000","51.67","5.78","2020-03-12"
"1584046800000","50.6","5.78","2020-03-13"
"1584306000000","48.03","5.78","2020-03-16"
"1584392400000","47.68","5.78","2020-03-17"
"1584478800000","44.68","5.78","2020-03-18"
"1584565200000","44.59","5.78","2020-03-19"
"1584651600000","43.66","5.51","2020-03-20"
"1584910800000","44.9","5.31","2020-03-23"
"1584997200000","45.48","5.42","2020-03-24"
"1585083600000","46.58","5.42","2020-03-25"
"1585170000000","45.84","5.42","2020-03-26"
"1585256400000","46.38","5.42","2020-03-27"
"1585515600000","46.44","5.42","2020-03-30"
"1585602000000","46.33","5.42","2020-03-31"
"1585688400000","45.23","5.48","2020-04-01"
"1585774800000","45.53","5.4","2020-04-02"
"1585861200000","44.94","5.4","2020-04-03"
"1586120400000","46.1","5.4","2020-04-06"
"1586206800000","47","5.4","2020-04-07"
"1586293200000","46.49","5.4","2020-04-08"
"1586379600000","46.69","5.4","2020-04-09"
"1586725200000","46.93","5.55","2020-04-13"
"1586811600000","47.64","5.46","2020-04-14"
"1586898000000","45.94","5.39","2020-04-15"
"1586984400000","46","5.39","2020-04-16"
"1587070800000","45.93","5.39","2020-04-17"
"1587330000000","46.08","5.17","2020-04-20"
"1587416400000","43.22","5.28","2020-04-21"
"1587502800000","44.46","5.28","2020-04-22"
"1587589200000","43.89","5.28","2020-04-23"
"1587675600000","43.69","4.87","2020-04-24"
"1587934800000","43.49","4.87","2020-04-27"
"1588021200000","43.66","4.87","2020-04-28"
"1588107600000","43.55","4.87","2020-04-29"
"1588194000000","44.72","4.87","2020-04-30"
"1588280400000","43.78","4.87","2020-05-01"
"1588539600000","43.16","4.87","2020-05-04"
"1588626000000","43.89","4.87","2020-05-05"
"1588712400000","43.36","5.07","2020-05-06"
"1588798800000","43.73","5.07","2020-05-07"
"1588885200000","45.47","5.34","2020-05-08"
"1589144400000","44.34","5.27","2020-05-11"
"1589230800000","44.19","5.4","2020-05-12"
"1589317200000","44.42","5.4","2020-05-13"
"1589403600000","44.73","5.4","2020-05-14"
"1589490000000","44.78","5.4","2020-05-15"
"1589749200000","46.21","5.28","2020-05-18"
"1589835600000","45.78","5.39","2020-05-19"
"1589922000000","46.45","5.47","2020-05-20"
"1590008400000","46.23","5.47","2020-05-21"
"1590094800000","46.01","5.59","2020-05-22"
"1590354000000","46.51","5.59","2020-05-25"
"1590440400000","47.32","5.59","2020-05-26"
"1590526800000","47.06","5.59","2020-05-27"
"1590613200000","47.7","5.59","2020-05-28"
"1590699600000","47.93","5.59","2020-05-29"
"1590958800000","48.09","5.59","2020-06-01"
"1591045200000","48.42","5.59","2020-06-02"
"1591131600000","48.55","5.59","2020-06-03"
"1591218000000","49.11","5.59","2020-06-04"
"1591304400000","49.6","5.39","2020-06-05"
"1591563600000","48.37","5.39","2020-06-08"
"1591650000000","49","5.39","2020-06-09"
"1591736400000","49","5.71","2020-06-10"
"1591822800000","46.97","5.71","2020-06-11"
"1591909200000","46.74","5.71","2020-06-12"
"1592168400000","47.72","5.71","2020-06-15"
"1592254800000","48.16","5.71","2020-06-16"
"1592341200000","47.37","5.71","2020-06-17"
"1592427600000","47.17","5.71","2020-06-18"
"1592514000000","47.29","5.71","2020-06-19"
"1592773200000","47.93","5.71","2020-06-22"
"1592859600000","47.69","5.71","2020-06-23"
"1592946000000","46.72","6","2020-06-24"
"1593032400000","47.02","6","2020-06-25"
"1593118800000","47.05","6","2020-06-26"
"1593378000000","48.04","6","2020-06-29"
"1593464400000","47.28","6","2020-06-30"
"1593550800000","47.77","5.83","2020-07-01"
"1593637200000","48.33","5.83","2020-07-02"
"1593723600000","48.3","5.93","2020-07-03"
"1593982800000","48.59","5.93","2020-07-06"
"1594069200000","48.77","5.93","2020-07-07"
"1594155600000","49.36","6.03","2020-07-08"
"1594242000000","49.2","6.03","2020-07-09"
"1594328400000","49.54","6.03","2020-07-10"
"1594587600000","49.22","6.03","2020-07-13"
"1594674000000","49.52","6.03","2020-07-14"
"1594760400000","49.65","6.03","2020-07-15"
"1594846800000","49.37","6.03","2020-07-16"
"1594933200000","49.4","6.03","2020-07-17"
"1595192400000","49.53","6.03","2020-07-20"
"1595278800000","49.74","6.03","2020-07-21"
"1595365200000","49.81","6.03","2020-07-22"
"1595451600000","49.39","6.03","2020-07-23"
"1595538000000","50.03","6.03","2020-07-24"
"1595797200000","50.45","6.03","2020-07-27"
"1595883600000","50.25","6.03","2020-07-28"
"1595970000000","50.45","6.03","2020-07-29"
"1596056400000","49.65","6.03","2020-07-30"
"1596142800000","49.94","6.03","2020-07-31"
"1596402000000","50.88","6.03","2020-08-03"
"1596488400000","50.9","6.03","2020-08-04"
"1596574800000","51.06","6.03","2020-08-05"
"1596661200000","51.03","6.03","2020-08-06"
"1596747600000","50.37","6.03","2020-08-07"
"1597006800000","50.65","6.19","2020-08-10"
"1597093200000","50.43","6.19","2020-08-11"
"1597179600000","50.97","6.19","2020-08-12"
"1597266000000","50.77","6.19","2020-08-13"
"1597352400000","50.65","6.19","2020-08-14"
"1597611600000","51.31","6.19","2020-08-17"
"1597698000000","51.13","6.19","2020-08-18"
"1597784400000","51.32","6.19","2020-08-19"
"1597870800000","51.14","6.19","2020-08-20"
"1597957200000","50.75","6.19","2020-08-21"
"1598216400000","51.34","6.19","2020-08-24"
"1598302800000","51.64","6.19","2020-08-25"
"1598389200000","51.59","6.19","2020-08-26"
"1598475600000","51.08","6.19","2020-08-27"
"1598562000000","51.69","6.19","2020-08-28"
"1598821200000","50.95","6.19","2020-08-31"
"1598907600000","51.32","6.19","2020-09-01"
"1598994000000","50.73","6.19","2020-09-02"
"1599080400000","50.97","6.19","2020-09-03"
"1599166800000","50.44","6.19","2020-09-04"
"1599426000000","50","6.19","2020-09-07"
"1599512400000","48.6","6.19","2020-09-08"
"1599598800000","49.21","5.98","2020-09-09"
"1599685200000","48.92","5.98","2020-09-10"
"1599771600000","48.73","5.8","2020-09-11"
"1600030800000","49.04","5.8","2020-09-14"
"1600117200000","49.62","5.8","2020-09-15"
"1600203600000","49.94","5.8","2020-09-16"
"1600290000000","50.18","5.8","2020-09-17"
"1600376400000","49.98","5.8","2020-09-18"
"1600635600000","48.86","5.8","2020-09-21"
"1600722000000","48.94","6.1","2020-09-22"
"1600808400000","48.88","6.1","2020-09-23"
"1600894800000","49.13","6.1","2020-09-24"
"1600981200000","48.83","5.98","2020-09-25"
"1601240400000","48.82","5.98","2020-09-28"
"1601326800000","47.8","5.98","2020-09-29"
"1601413200000","48.46","5.98","2020-09-30"
"1601499600000","47.85","5.98","2020-10-01"
"1601586000000","46.73","5.98","2020-10-02"
"1601845200000","48.08","5.98","2020-10-05"
"1601931600000","48.7","5.98","2020-10-06"
"1602018000000","48.08","5.98","2020-10-07"
"1602104400000","48.54","5.98","2020-10-08"
