BrentOilPrice,FuelPrice,USD/TRY
54.21,6.75,6.96
54.21,6.75,6.96
54.26,6.75,6.99
54.5,6.75,6.98
54.51,6.75,6.98
54.55,6.75,6.97
55.67,6.75,7.02
55.67,6.75,7.02
55.67,6.75,7.02
55.87,6.75,7.11
56.91,6.75,7.17
56.8,6.75,7.35
55.59,6.75,7.43
55.28,6.75,7.29
55.28,6.75,7.29
55.28,6.75,7.29
55.45,6.75,7.36
56.21,6.75,7.46
56.99,6.75,7.52
58.25,6.75,7.53
57.84,6.75,7.76
57.84,6.75,7.76
57.84,6.75,7.76
57.6,6.75,7.62
57.44,6.75,7.5
58.1,6.75,7.48
58.01,6.75,7.56
57.9,6.75,7.54
57.9,6.75,7.54
57.9,6.75,7.54
57.89,6.75,7.49
58.23,6.75,7.5
56.59,6.52,7.32
56.77,6.52,7.22
56.97,6.52,7.8
56.97,6.52,7.8
56.97,6.52,7.8
55.71,6.52,7.93
56.96,6.52,7.94
55.35,6.52,7.94
56.66,6.52,8.11
56.61,6.52,8.21
56.61,6.52,8.21
56.61,6.52,8.21
56.18,6.52,8.34
55.52,6.52,8.25
57.76,6.52,8.12
57.01,6.52,8.17
57.01,6.52,8.11
57.01,6.52,8.11
57.01,6.52,8.11
57.63,6.52,8.14
57.68,6.52,8.16
56.89,6.52,8.14
57,6.52,8.17
57.46,6.52,8.16
57.46,6.52,8.16
57.46,6.52,8.16
57.83,6.52,8.12
59.08,6.52,8.08
58.76,6.52,8.02
58.53,6.52,8.07
58.54,6.52,8.1
58.54,6.52,8.1
58.54,6.52,8.1
57.97,6.52,8.12
57.49,6.52,8.19
57.98,6.52,8.32
58.51,6.52,8.39
58.63,6.52,8.28
58.63,6.52,8.28
58.63,6.52,8.28
59.25,6.52,8.22
59.63,6.52,8.2
60.12,6.52,8.22
59.14,6.52,8.29
59.69,6.52,8.25
59.69,6.52,8.25
59.69,6.52,8.25
60.53,6.52,8.33
60.75,6.52,8.33
60.71,6.52,8.28
61.08,6.52,8.24
61.31,6.52,8.28
61.31,6.52,8.28
61.31,6.52,8.28
61.76,6.52,8.28
62.3,6.52,8.43
60.48,6.52,8.51
61,6.52,8.45
61.09,6.52,8.31
61.09,6.52,8.31
61.09,6.52,8.31
60.97,6.52,8.36
59.64,6.52,8.41
59.12,7.32,8.38
59.9,7.32,8.42
61.08,7.32,8.39
61.08,7.32,8.39
61.08,7.32,8.39
61.03,7.32,8.47
61.14,7.32,8.46
61.25,7.32,8.5
60.88,7.32,8.56
61.25,7.3,8.49
61.25,7.3,8.49
61.25,7.3,8.49
61.78,7.3,8.54
62.21,7.3,8.59
62.16,7.3,8.7
62.56,7.3,8.67
62.7,7.3,8.61
62.7,7.3,8.61
62.7,7.3,8.61
63.15,7.3,8.61
63.1,7.3,8.59
63.13,7.3,8.43
63.14,7.3,8.39
63.05,7.3,8.47
63.05,7.3,8.47
63.05,7.3,8.47
63.4,7.3,8.56
63.6,7.3,8.61
62.51,7.3,8.72
62.84,7.3,8.74
63.54,7.3,8.77
63.54,7.3,8.77
63.54,7.3,8.77
63.85,7.3,8.65
64.19,7.3,8.64
64.41,7.32,8.71
64.62,7.32,8.77
63.96,7.32,8.69
63.96,7.32,8.69
63.96,7.32,8.69
64.05,7.32,8.74
63.88,7.32,8.71
64.45,7.32,8.67
64.76,7.32,8.69
64.93,7.32,8.67
64.93,7.32,8.67
64.93,7.32,8.67
63.12,7.32,8.69
62.35,7.32,8.69
62.69,7.32,8.69
63.74,7.32,8.66
63.85,7.32,8.64
63.85,7.32,8.64
63.85,7.32,8.64
65,7.32,8.63
63.94,7.32,8.59
63.56,7.32,8.57
64.09,7.32,8.53
60.68,7.32,8.59
60.68,7.32,8.59
60.68,7.32,8.59
60.81,7.32,8.58
62.76,7.32,8.57
63.24,7.32,8.56
63.21,7.32,8.55
63.16,7.32,8.56
63.16,7.32,8.56
63.16,7.32,8.56
63.16,7.32,8.56
63.77,7.32,8.55
64.7,7.32,8.46
64.7,7.32,8.45
63.13,7.32,8.35
63.13,7.32,8.35
63.13,7.32,8.35
63.18,7.37,8.41
62.34,7.37,8.48
63.13,7.37,8.53
63.2,7.37,8.63
62.15,7.37,8.66
62.15,7.37,8.66
62.15,7.37,8.66
63.09,7.34,8.61
63.72,7.34,8.63
63.66,7.34,8.56
63.31,7.34,8.52
62.77,7.34,8.46
62.77,7.34,8.46
62.77,7.34,8.46
62.05,7.34,8.43
61.55,7.34,8.46
60.4,7.34,8.53
59.28,7.34,8.5
61.66,7.34,8.43
61.66,7.34,8.43
61.66,7.34,8.43
62.8,7.34,8.41
63.18,7.34,8.38
62.6,7.34,8.39
63.55,7.34,8.35
63.51,7.34,8.38
63.51,7.34,8.38
63.51,7.34,8.38
63.23,7.34,8.32
63.42,7.34,8.3
