BrentOilPrice,FuelPrice,USD/TRY
59.4,6.52,8.2196
59.78,6.52,8.1995
60.28,6.52,8.219
59.28,6.52,8.2948
59.84,6.52,8.2506
60.7,6.52,8.3281
60.91,6.52,8.326
60.86,6.52,8.2821
61.24,6.52,8.2409
61.47,6.52,8.2761
61.92,6.52,8.2846
62.47,6.52,8.4311
60.64,6.52,8.505
61.18,6.52,8.451
61.28,6.52,8.3137
61.14,6.52,8.3563
59.8,6.52,8.4139
59.26,7.32,8.3806
60.06,7.32,8.4162
61.26,7.32,8.3876
61.21,7.32,8.4655
61.33,7.32,8.458
61.45,7.32,8.5015
61.07,7.32,8.5625
61.45,7.3,8.4918
61.99,7.3,8.5381
62.43,7.3,8.592
62.39,7.3,8.7023
62.8,7.3,8.6685
62.93,7.3,8.6139
63.37,7.3,8.605
63.32,7.3,8.5872
63.36,7.3,8.4261
63.37,7.3,8.3931
63.29,7.3,8.4657
63.65,7.3,8.5567
63.83,7.3,8.6074
62.74,7.3,8.721
63.07,7.3,8.7352
63.78,7.3,8.7722
64.08,7.3,8.6531
64.44,7.3,8.6431
64.67,7.32,8.7077
64.89,7.32,8.7652
64.22,7.32,8.6915
64.31,7.32,8.7388
64.15,7.32,8.7076
64.74,7.32,8.665
65.05,7.32,8.6924
65.24,7.32,8.6709
63.4,7.32,8.6893
62.62,7.32,8.6907
62.97,7.32,8.6904
64.04,7.32,8.6615
64.15,7.32,8.6398
65.3,7.32,8.6262
64.23,7.32,8.5908
63.83,7.32,8.5676
64.35,7.32,8.5277
60.89,7.32,8.5885
61.03,7.32,8.5753
63.01,7.32,8.5654
63.51,7.32,8.5609
63.48,7.32,8.5529
63.46,7.32,8.5586
63.45,7.32,8.5649
64.05,7.32,8.5542
65,7.32,8.4585
65.01,7.32,8.4539
63.41,7.32,8.3545
63.44,7.37,8.4093
62.58,7.37,8.4789
63.37,7.37,8.5311
63.42,7.37,8.6317
62.34,7.37,8.6603
63.31,7.34,8.609
63.96,7.34,8.6315
63.9,7.34,8.5634
63.54,7.34,8.5237
62.98,7.34,8.4609
62.26,7.34,8.4331
61.74,7.34,8.4642
60.55,7.34,8.5282
59.42,7.34,8.4956
61.84,7.34,8.4272
63.04,7.34,8.4113
63.43,7.34,8.3784
62.84,7.34,8.3916
63.81,7.34,8.3512
63.79,7.34,8.3792
63.52,7.34,8.3179
63.71,7.34,8.2955
64.47,7.34,8.2785
64.32,7.34,8.3242
64.39,7.34,8.2823
64.12,7.34,8.3526
64.17,7.34,8.4734
63.55,7.34,8.4359
64.6,7.34,8.4722
64.91,7.34,8.4286
64.86,7.34,8.4419
65.53,7.34,8.435
65.58,7.37,8.5332
65.04,7.37,8.641
63.96,7.37,8.6722
64.45,7.37,8.6287
65.19,7.37,8.655
65.92,7.37,8.7654
66.26,7.37,8.8861
67.66,7.37,8.822
67.53,7.37,8.8749
67.73,7.37,8.9236
67.48,7.37,8.8933
68.5,7.37,8.8587
69.52,7.37,8.858
70.29,7.37,8.8722
68.92,7.37,8.8803
69.57,7.37,8.8785
69.85,7.6,8.9694
70.92,7.6,9.0024
71.21,7.6,9.0425
71.35,7.6,9.0884
71.66,7.6,9.187
71.64,7.6,9.2595
71.29,8.01,9.3344
71.41,8.24,9.3011
72.3,8.24,9.219
71.32,8.26,9.5177
71.32,8.26,9.6085
72.09,8.26,9.5929
72.1,8.26,9.5432
71.18,8.26,9.5018
70.9,8.26,9.5449
70.4,8.26,9.6069
70.76,8.26,9.5398
70.88,8.26,9.6039
69.74,8.26,9.6447
70.34,8.26,9.7039
71.86,8.26,9.6922
72.38,8.26,9.6853
72.68,8.26,9.735
71.46,8.26,9.847
71.97,8.26,9.9062
71.42,8.26,9.9992
71.55,8.26,10.0626
71.78,8.26,10.3172
70.78,8.26,10.6294
71.34,8.26,11.0635
69.73,8.26,11.2884
70.5,8.76,11.3853
72.07,8.76,12.8238
71.88,8.76,11.9535
72.28,9.85,11.9928
65.63,9.85,12.3373
67.26,9.85,12.8196
64.05,9.85,13.4776
64.21,9.41,13.248
64.93,9.41,13.6831
65.47,9.41,13.703
67.59,9.41,13.8047
69.59,9.41,13.4914
70.28,10.06,13.6765
69.31,10.38,13.7884
69.52,10.41,13.8783
69.23,10.41,13.8239
68.85,10.41,14.3883
68.44,10.41,14.8113
68.72,10.41,15.6652
67.45,10.41,16.41
66.27,11.55,13.3274
67.99,11.55,12.4883
68.11,11.55,12.0395
69.03,11.55,11.3568
67.94,11.55,10.6386
70.34,11.5,11.5205
70.52,11.5,11.7886
71.11,11.5,12.6373
71.35,11.5,13.149
69.92,11.5,13.304
71.08,12.81,13.1278
71.98,12.81,13.4082
71.9,12.84,13.6746
72.37,12.84,13.861
72.28,12.84,13.8697
71.76,13.78,13.8148
73.41,13.78,13.8039
73.69,13.78,13.2848
73.56,13.78,13.5912
74.47,13.78,13.5302
74.81,13.78,13.4407
75.52,13.78,13.5321
75.88,14.3,13.4276
76.37,14.36,13.3534
76.12,14.36,13.4541
75.18,14.36,13.4548
76.25,14.36,13.4832
76.88,14.36,13.5775
76.29,14.36,13.6109
76.13,14.36,13.5539
76.53,14.36,13.3042
76.56,14.36,13.3794
76.97,14.68,13.4618
78.05,14.68,13.5678
78.85,14.68,13.5484
79.18,14.68,13.5968
78.22,15.48,13.5658
79.34,15.48,13.5361
79.37,15.51,13.4996
80.41,15.51,13.4906
80.92,15.51,13.5978
78.61,15.51,13.6043
79.36,15.51,13.5984
78.84,15.51,13.5808
79.4,15.51,13.6577
80.53,15.59,13.6916
80.72,15.59,13.7913
81.56,15.56,13.821
80.7,15.56,14.0395
79.72,15.56,13.8202
80.41,17.07,13.8455
82.06,16.14,13.9076
85.61,16.14,14.0249
86.22,17.65,14.1183
91.92,18.98,14.2004
93.02,19.86,14.3851
91.96,21.3,14.4962
83.67,22.89,14.6574
84.46,22.92,14.8424
87.51,22.92,14.7668
84.38,22.96,14.8057
83.21,20.58,14.6976
81.52,19.79,14.6245
85.74,18.78,14.6971
86.49,18.78,14.8053
89.11,20.74,14.8278
88.66,20.74,14.8236
90.51,22.33,14.8368
88.52,22.33,14.8232
89.81,23.7,14.8434
86.38,23.7,14.8198
86.34,23.7,14.5929
88.6,22.15,14.6549
87.95,21.27,14.6724
90.03,21.27,14.6873
92.07,21.33,14.6853
91.29,21.33,14.7199
89.14,21.33,14.7123
89.82,21.33,14.7394
90.77,21.33,14.7505
89.3,21.33,14.6654
91.65,20.29,14.599
93.36,20.29,14.5998
93.51,20.29,14.6094
93.3,22.09,14.6405
89.56,22.09,14.6577
90.11,22.09,14.6701
91.46,22.09,14.7066
89.39,22.09,14.7422
87.53,22.11,14.7777
88.29,22.11,14.8038
88.2,22.11,14.8123
88.38,22.11,14.7897
87.59,22.11,14.8541
88.26,22.11,14.886
87.65,22.11,14.8175
90.56,22.11,14.7363
90.71,22.11,14.8622
91.59,22.11,14.9516
88.08,22.11,15.0829
86.7,22.11,15.2536
